"","us.embassy","baoding","cangzhou","changpingzhen","chaoyangaotizhongxin","chaoyangnongzhanguan","chengde","daxinghuangcunzhen","dongsihuanbeilu","fengtaihuayuan","guandangxiao","haidianwanliu","jixian","langfang","miyun","nansanhuanxilu","pinggu","qianmendongdajie","sanhe","shijiazhuang","shijingshangucheng","shunyixincheng","tangshan","tianjin","tongzhouxincheng","xianghe","xinglong","yanqing","zhangjiakou","zhuozhou"
"us.embassy",1,0.631643503475374,0.521886188608768,0.827544059751458,0.959909292171746,0.977504942157264,0.691865941031525,0.920037811065474,0.962672900541211,0.949729321764642,0.866522919195761,0.924143979141498,0.751339226887567,0.776621537747938,0.896183284446612,0.952422133635038,0.857591875718574,0.960582597416503,0.837392974207573,0.634122869504154,0.905533375323046,0.891403756129686,0.506685715477958,0.64391633557634,0.773698156894995,0.800917653177495,0.778070153327183,0.796985247986622,0.266883070913866,0.833498774951118
"baoding",0.631643503475374,1,0.440399008107563,0.514755648521736,0.607638900441139,0.621018841778714,0.464563637524343,0.658743178774995,0.609102183667996,0.644640174820685,0.692850721653826,0.60262391207404,0.465557781992329,0.620896482349442,0.572640465362341,0.620496479395115,0.530837839244728,0.620159213030923,0.55403562184606,0.614106297277254,0.609526318427687,0.550416475137623,0.398449972431417,0.499733851717849,0.478334921738739,0.57795440483811,0.521900946453484,0.532805232269691,0.222547492600834,0.691070597362081
"cangzhou",0.521886188608768,0.440399008107563,1,0.428183271389681,0.500141422790527,0.514457289949634,0.466178137156987,0.535683357695061,0.526500949168761,0.511010943926357,0.562686394982323,0.482659440266547,0.496201988656935,0.534609723718378,0.477828125378416,0.52754459320304,0.46417923863139,0.529548038872492,0.49450476620229,0.500019528992819,0.48038456369771,0.462276261938978,0.434556545252183,0.668846940334867,0.483357016956775,0.526722674430569,0.524582342607802,0.467811789518479,0.177595579203921,0.476734837547103
"changpingzhen",0.827544059751458,0.514755648521736,0.428183271389681,1,0.864478726100754,0.836939921671848,0.68624483962919,0.797983267727912,0.816414769692047,0.841575829505999,0.757030124705936,0.882081385324446,0.694810519972076,0.61723163793826,0.866323754831075,0.821452183563981,0.816866367476854,0.832546708126063,0.754518765467107,0.54833794950386,0.872149392408894,0.837903414909256,0.419609991111142,0.504636877927049,0.656491604092028,0.672969299888095,0.762811055150913,0.862584138595347,0.288443010413773,0.732870544328519
"chaoyangaotizhongxin",0.959909292171746,0.607638900441139,0.500141422790527,0.864478726100754,1,0.965332552661726,0.70642479516477,0.909992536315456,0.945670843046933,0.954096922745941,0.865265957993912,0.96057279783223,0.755283373058462,0.741919880608346,0.903206276695181,0.945681440647595,0.867959826761144,0.954505182589959,0.837752614451657,0.602771356050964,0.937043187929971,0.916899416689883,0.490686271997716,0.61264162291953,0.774047253849611,0.776041528738178,0.791225864492046,0.829655965808696,0.271423348072771,0.828537758491673
"chaoyangnongzhanguan",0.977504942157264,0.621018841778714,0.514457289949634,0.836939921671848,0.965332552661726,1,0.701763807193577,0.930018779945219,0.972291930697495,0.957078963217843,0.871419171468302,0.936078979698115,0.775783054592384,0.785396071112712,0.900478437258613,0.959701938176731,0.873095269158779,0.963788394347425,0.842644591753828,0.619240611927839,0.914787225726759,0.903200623965615,0.499267980533462,0.650110936577079,0.795982152646762,0.803762639154962,0.777437933315688,0.805611402330872,0.269857066137607,0.838882006309055
"chengde",0.691865941031525,0.464563637524343,0.466178137156987,0.68624483962919,0.70642479516477,0.701763807193577,1,0.668657981294331,0.688889342994202,0.697914308676856,0.646469624184521,0.717491737146782,0.675193531209349,0.542959369818015,0.763504533760123,0.684105502632813,0.718014918371065,0.686092970904223,0.686280045771708,0.519549258473936,0.715214719037046,0.722126163562004,0.409905842674607,0.479382684519152,0.558621487709596,0.623345743089123,0.768715538901715,0.739513881675026,0.289026851869642,0.623946070173534
"daxinghuangcunzhen",0.920037811065474,0.658743178774995,0.535683357695061,0.797983267727912,0.909992536315456,0.930018779945219,0.668657981294331,1,0.921364654725168,0.94318457212482,0.900734666917252,0.891622228198935,0.739173651863206,0.811732491595786,0.848399349777302,0.939840246555688,0.821188329801443,0.928190512143527,0.801160651754778,0.655630368485073,0.876631616665785,0.840640090571722,0.495823723395614,0.660033909331878,0.752321033129234,0.784828720751354,0.740119291550454,0.766248411127494,0.253500030144146,0.867731782753176
"dongsihuanbeilu",0.962672900541211,0.609102183667996,0.526500949168761,0.816414769692047,0.945670843046933,0.972291930697495,0.688889342994202,0.921364654725168,1,0.942730742913513,0.857874229889723,0.913426252261044,0.766248757339964,0.78247779131858,0.883481430095031,0.948644052751016,0.859837642488479,0.943693579242166,0.833723076556082,0.592928608112039,0.887900239878163,0.887233691560132,0.50163647461596,0.653387208153328,0.824566221396627,0.799055516651663,0.756541975421597,0.779758449178645,0.250529404797184,0.825837029565658
"fengtaihuayuan",0.949729321764642,0.644640174820685,0.511010943926357,0.841575829505999,0.954096922745941,0.957078963217843,0.697914308676856,0.94318457212482,0.942730742913513,1,0.88631307866483,0.954788532882361,0.754560953418288,0.767367002217683,0.889503296012503,0.965512175693191,0.858044333125806,0.958977101528834,0.826191719159302,0.628945480449517,0.944643538975698,0.883305865558139,0.483901066120822,0.630843533427489,0.77402061140764,0.781420296336054,0.762132573336193,0.811849101006745,0.264808529035537,0.86651572213421
"guandangxiao",0.866522919195761,0.692850721653826,0.562686394982323,0.757030124705936,0.865265957993912,0.871419171468302,0.646469624184521,0.900734666917252,0.857874229889723,0.88631307866483,1,0.84967393434821,0.69864068452077,0.828745411907062,0.797378536697833,0.88154282616571,0.795736137100581,0.877027026055187,0.804335508584921,0.67697279473412,0.850262936578883,0.802569863792794,0.542089288111795,0.695126600721432,0.775834543410417,0.821627701856018,0.731621176141928,0.735203533838132,0.236929947826795,0.870855158150831
