"","us.embassy","baoding","cangzhou","changpingzhen","chaoyangaotizhongxin","chaoyangnongzhanguan","chengde","daxinghuangcunzhen","dongsihuanbeilu","fengtaihuayuan","guandangxiao","haidianwanliu","jixian","langfang","miyun","nansanhuanxilu","pinggu","qianmendongdajie","sanhe","shijiazhuang","shijingshangucheng","shunyixincheng","tangshan","tianjin","tongzhouxincheng","xianghe","xinglong","yanqing","zhangjiakou","zhuozhou"
"us.embassy",4855.2211805548,4308.80511307813,1975.55684307856,3846.83885557916,4604.50431802517,4586.19352874727,2562.14839998645,4602.47863112725,4757.91556374696,4368.91949484817,4264.83665130819,4262.47211422235,2854.79409577901,3709.68465836108,3920.5389919913,4842.94410066018,3589.27508738127,5074.73871993324,3985.47459859185,4379.46715749862,4069.94246568667,4183.17558935361,2771.04949545868,2536.10870119028,3681.11549039951,3957.24636291588,2809.30092116629,3604.96771780956,805.627859355452,4031.39469668876
"baoding",4308.80511307813,9584.30479185168,2342.26407489537,3361.93868112964,4095.19000538405,4093.6809402776,2417.14854649161,4629.96848125818,4229.64520661062,4166.4613939325,4791.12851081186,3905.20711118557,2485.35319522621,4166.99099092213,3519.70909918707,4432.97311142078,3121.50300822918,4603.18014247612,3704.79532545979,5958.91522686108,3849.03685295141,3629.09935509742,3061.64774575874,2765.36835744011,3197.5383944128,4012.12632922967,2647.54523175777,3386.06567204774,943.869503095083,4696.22145796881
"cangzhou",1975.55684307856,2342.26407489537,2951.33449629613,1551.8411788011,1870.46773666975,1881.86059502264,1345.98102767368,2089.29115851301,2028.81221049122,1832.77479765588,2159.20297421508,1735.67107018123,1469.94787325243,1990.9902103715,1629.76638109552,2091.43253865554,1514.66470591405,2181.16763086324,1834.95712877202,2692.3996894448,1683.36215529161,1691.36732018833,1852.91981376515,2053.85544354479,1793.00134773007,2029.04624000405,1476.71906263298,1649.78354326028,417.975001759791,1797.76098481296
"changpingzhen",3846.83885557916,3361.93868112964,1551.8411788011,4450.58108526517,3970.18595279063,3759.51263535914,2433.12975514806,3821.93889441843,3863.24887117882,3706.56225450334,3567.29774179471,3895.24177303796,2527.60357547274,2822.7966401367,3628.54915504329,3999.13545581207,3273.26337573002,4211.06000474563,3438.14847501362,3625.76799178353,3752.9997899762,3764.69194321823,2197.12766271482,1902.923175469,2990.48002910761,3183.49611729746,2636.94051741315,3735.56600572046,833.637646469934,3393.76268726078
"chaoyangaotizhongxin",4604.50431802517,4095.19000538405,1870.46773666975,3970.18595279063,4739.10529972812,4474.59812894086,2584.59162557418,4497.46305823546,4617.6568142006,4336.21053709642,4207.41775281297,4377.19471257063,2835.25627405761,3501.29127781048,3903.72804771847,4750.81930290107,3588.96630223135,4981.96799268383,3939.21961948869,4112.86196103252,4160.89815346022,4251.05771206198,2651.26537358159,2383.90305615905,3638.47189626257,3788.20833005026,2822.43306135838,3707.5994356099,809.476644841027,3959.18986537356
"chaoyangnongzhanguan",4586.19352874727,4093.6809402776,1881.86059502264,3759.51263535914,4474.59812894086,4533.7525377259,2511.29476402369,4495.75068832944,4643.64554187425,4254.47878475051,4144.51632160932,4172.13931322293,2848.41596745463,3625.27273014509,3806.68247151385,4715.64110749738,3531.11708177201,4920.22610826824,3875.42705439068,4132.67911117725,3973.08901991813,4095.81431964631,2638.54030716477,2474.28823195304,3659.61675531212,3837.57992890981,2712.49926372679,3521.28436154215,787.175630397495,3920.80848773495
"chengde",2562.14839998645,2417.14854649161,1345.98102767368,2433.12975514806,2584.59162557418,2511.29476402369,2824.59143830511,2551.31126864876,2596.9330893675,2448.77908667267,2426.85473116959,2524.13236803588,1956.77237588919,1978.19092535902,2547.61541620421,2653.23898591513,2292.09631994597,2764.61876898364,2491.29647721811,2736.8304715775,2451.84810386519,2584.74690973586,1709.86979519336,1440.10472047457,2027.21040934162,2349.13259071912,2116.98838447845,2551.35409690039,665.464591271921,2301.81659972034
"daxinghuangcunzhen",4602.47863112725,4629.96848125818,2089.29115851301,3821.93889441843,4497.46305823546,4495.75068832944,2551.31126864876,5154.22283209096,4691.87699251826,4470.41631665529,4567.68673680072,4237.20898958632,2893.75853854038,3995.00731817076,3824.07455672138,4923.92128035647,3541.16318864904,5052.34714336421,3928.68699803665,4665.34757656187,4059.55120489183,4064.60941096536,2793.89454877606,2678.43896873739,3687.9767149622,3995.3717616814,2753.33030906777,3571.0651205863,788.439821368576,4324.27141468578
"dongsihuanbeilu",4757.91556374696,4229.64520661062,2028.81221049122,3863.24887117882,4617.6568142006,4643.64554187425,2596.9330893675,4691.87699251826,5031.14633220475,4414.59462797692,4298.08435424456,4288.68715052214,2963.72207161459,3804.77122579383,3934.37116809983,4910.34752631179,3663.29172936949,5075.03378448411,4039.25731517882,4168.4944507139,4062.34633568736,4238.36763898234,2792.69620159413,2619.61828958787,3993.57997194268,4018.93647574182,2780.61908692973,3590.37781337625,769.841149922926,4066.05895715658
"fengtaihuayuan",4368.91949484817,4166.4613939325,1832.77479765588,3706.56225450334,4336.21053709642,4254.47878475051,2448.77908667267,4470.41631665529,4414.59462797692,4358.52330123489,4133.08828464115,4172.48018932925,2716.42820160076,3472.9286425656,3686.90270079924,4651.60585078207,3402.52237944606,4800.12322336012,3725.60447857774,4115.53249236971,4022.69349455982,3927.42522949227,2507.42168651052,2354.10187548368,3489.1977441821,3658.09589640104,2607.20515181492,3479.29768296506,757.374354373128,3970.92768207244
