weather_num,website,province_code,city_name
1,http://www.nmc.gov.cn/publish/forecast/ABJ/beijing_iframe.html,ABJ,beijing
2,http://www.nmc.gov.cn/publish/forecast/ABJ/shunyi_iframe.html,ABJ,shunyi
3,http://www.nmc.gov.cn/publish/forecast/ABJ/yanqing_iframe.html,ABJ,yanqing
4,http://www.nmc.gov.cn/publish/forecast/ABJ/miyun_iframe.html,ABJ,miyun
5,http://www.nmc.gov.cn/publish/forecast/ABJ/huairou_iframe.html,ABJ,huairou
6,http://www.nmc.gov.cn/publish/forecast/ABJ/pinggu_iframe.html,ABJ,pinggu
7,http://www.nmc.gov.cn/publish/forecast/ABJ/tongzhou_iframe.html,ABJ,tongzhou
8,http://www.nmc.gov.cn/publish/forecast/ABJ/changping_iframe.html,ABJ,changping
9,http://www.nmc.gov.cn/publish/forecast/ABJ/mentougou_iframe.html,ABJ,mentougou
10,http://www.nmc.gov.cn/publish/forecast/ABJ/daxing_iframe.html,ABJ,daxing
11,http://www.nmc.gov.cn/publish/forecast/ABJ/fangshan_iframe.html,ABJ,fangshan
12,http://www.nmc.gov.cn/publish/forecast/AAH/bozhou_iframe.html,AAH,bozhou
13,http://www.nmc.gov.cn/publish/forecast/AAH/huaibei_iframe.html,AAH,huaibei
14,http://www.nmc.gov.cn/publish/forecast/AAH/suzhou_iframe.html,AAH,suzhou
15,http://www.nmc.gov.cn/publish/forecast/AAH/fuyang_iframe.html,AAH,fuyang
16,http://www.nmc.gov.cn/publish/forecast/AAH/bangbu_iframe.html,AAH,bangbu
17,http://www.nmc.gov.cn/publish/forecast/AAH/huainan_iframe.html,AAH,huainan
18,http://www.nmc.gov.cn/publish/forecast/AAH/chuzhou_iframe.html,AAH,chuzhou
19,http://www.nmc.gov.cn/publish/forecast/AAH/liuan_iframe.html,AAH,liuan
20,http://www.nmc.gov.cn/publish/forecast/AAH/chaohu_iframe.html,AAH,chaohu
21,http://www.nmc.gov.cn/publish/forecast/AAH/wuhu_iframe.html,AAH,wuhu
22,http://www.nmc.gov.cn/publish/forecast/AAH/maanshan_iframe.html,AAH,maanshan
23,http://www.nmc.gov.cn/publish/forecast/AAH/anqing_iframe.html,AAH,anqing
24,http://www.nmc.gov.cn/publish/forecast/AAH/chizhou_iframe.html,AAH,chizhou
25,http://www.nmc.gov.cn/publish/forecast/AAH/tongling_iframe.html,AAH,tongling
26,http://www.nmc.gov.cn/publish/forecast/AAH/xuancheng_iframe.html,AAH,xuancheng
27,http://www.nmc.gov.cn/publish/forecast/AAH/huangshanshi_iframe.html,AAH,huangshanshi
28,http://www.nmc.gov.cn/publish/forecast/AAH/hefei_iframe.html,AAH,hefei
29,http://www.nmc.gov.cn/publish/forecast/AAH/dangshan_iframe.html,AAH,dangshan
30,http://www.nmc.gov.cn/publish/forecast/AAH/xiaoxian_iframe.html,AAH,xiaoxian
31,http://www.nmc.gov.cn/publish/forecast/AAH/linquan_iframe.html,AAH,linquan
32,http://www.nmc.gov.cn/publish/forecast/AAH/jieshou_iframe.html,AAH,jieshou
33,http://www.nmc.gov.cn/publish/forecast/AAH/taihe_iframe.html,AAH,taihe
34,http://www.nmc.gov.cn/publish/forecast/AAH/suixi_iframe.html,AAH,suixi
35,http://www.nmc.gov.cn/publish/forecast/AAH/woyang_iframe.html,AAH,woyang
36,http://www.nmc.gov.cn/publish/forecast/AAH/lixin_iframe.html,AAH,lixin
37,http://www.nmc.gov.cn/publish/forecast/AAH/mengcheng_iframe.html,AAH,mengcheng
